id,name
1099,Baeggu
1100,Berau Malay
1101,Boor
1102,Bonkeng
1103,Bure
1104,Belanda Viri
1105,Baan
1106,Bukat
1107,Bolivian Sign Language
1108,Bamunka
1109,Buna
1110,Bolgo
1111,Bumang
1112,Birri
1113,Burarra
1114,Bati (Indonesia)
1115,Bukit Malay
1116,Baniva
1117,Boga
1118,Dibole
1119,Baybayanon
1120,Bauzi
1121,Bwatoo
1122,Namosi-Naitasiri-Serua
1123,Bwile
1124,Bwaidoka
1125,Bwe Karen
1126,Boselewa
1127,Barwe
1128,Bishuo
1129,Baniwa
1130,Láá Láá Bwamu
1131,Bauwaki
1132,Bwela
1133,Biwat
1134,Wunai Bunu
1135,Boro (Ethiopia)
1136,Mandobo Bawah
1137,Southern Bobo Madaré
1138,Bura-Pabir
1139,Bomboma
1140,Bafaw-Balong
1141,Buli (Ghana)
1142,Bwa
1143,Bu-Nao Bunu
1144,Cwi Bwamu
1145,Bwisi
1146,Tairaha
1147,Belanda Bor
1148,Molengue
1149,Pela
1150,Birale
1151,Bilur
1152,Bangala
1153,Buhutu
1154,Pirlatapa
1155,Bayungu
1156,Bukusu
1157,Jalkunan
1158,Mongolia Buriat
1159,Burduna
1160,Barikanchi
1161,Bebil
1162,Beele
1163,Russia Buriat
1164,Busam
1165,China Buriat
1166,Berakou
1167,Bankagooma
1168,Binahari
1169,Batak
1170,Bikya
1171,Ubaghara
1172,Benyadu'
1173,Pouye
1174,Bete
1175,Baygo
1176,Bhujel
1177,Buyu
1178,Bina (Nigeria)
1179,Biao
1180,Bayono
1181,Bidjara
1182,Bilin
1183,Biyo
1184,Bumaji
1185,Basay
1186,Baruya
1187,Burak
1188,Berti
1189,Medumba
1190,Belhariya
1191,Qaqet
1192,Banaro
1193,Bandi
1194,Andio
1195,Southern Betsimisaraka Malagasy
1196,Bribri
1197,Jenaama Bozo
1198,Boikin
1199,Babuza
1200,Mapos Buang
1201,Bisu
1202,Belize Kriol English
1203,Nicaragua Creole English
1204,Boano (Sulawesi)
1205,Bolondo
1206,Boano (Maluku)
1207,Bozaba
1208,Kemberano
1209,Buli (Indonesia)
1210,Biri
1211,Brazilian Sign Language
1212,Brithenig
1213,Burmeso
1214,Naami
1215,Basa (Nigeria)
1216,Kɛlɛngaxo Bozo
1217,Obanliku
1218,Evant
1219,Chortí
1220,Garifuna
1221,Chuj
1222,Caddo
1223,Lehar
1224,Southern Carrier
1225,Nivaclé
1226,Cahuarano
1227,Chané
1228,Kaqchikel
1229,Carolinian
1230,Cemuhî
1231,Chambri
1232,Chácobo
1233,Chipaya
1234,Car Nicobarese
1235,Galibi Carib
1236,Tsimané
1237,Catalan
1238,Cavineña
1239,Callawalla
1240,Chiquitano
1241,Cayuga
1242,Canichana
1243,Cabiyarí
1244,Carapana
1245,Carijona
1246,Chimila
1247,Chachi
1248,Ede Cabe
1249,Chavacano
1250,Bualkhaw Chin
1251,Nyahkur
1252,Izora
1253,Tsucuba
1254,Cashibo-Cacataibo
1255,Cashinahua
1256,Chayahuita
1257,Candoshi-Shapra
1258,Cacua
1259,Kinabalian
1260,Carabayo
1261,Cauca
1262,Chamicuro
1263,Cafundo Creole
1264,Chopi
1265,Samba Daka
1266,Atsam
1267,Kasanga
1268,Cutchi-Swahili
1269,Malaccan Creole Malay
1270,Comaltepec Chinantec
1271,Chakma
1272,Cacaopera
1273,Choni
1274,Chenchu
1275,Chiru
1276,Chamari
1277,Chambeali
1278,Chodri
1279,Churahi
1280,Chepang
1281,Chaudangsi
1282,Min Dong Chinese
1283,Cinda-Regi-Tiyal
1284,Chadian Sign Language
1285,Chadong
1286,Koda
1287,Lower Chehalis
1288,Cebuano
1289,Chamacoco
1290,Eastern Khumi Chin
1291,Cen
1292,Czech
1293,Centúúm
1294,Ekai Chin
1295,Dijim-Bwilim
1296,Cara
1297,Como Karim
1298,Falam Chin
1299,Changriwa
1300,Kagayanen
1301,Chiga
1302,Chocangacakha
1303,Chamorro
1304,Chibcha
1305,Catawba
1306,Highland Oaxaca Chontal
1307,Chechen
1308,Tabasco Chontal
1309,Chagatai
1310,Chinook
1311,Ojitlán Chinantec
1312,Chuukese
1313,Cahuilla
1314,Mari (Russia)
1315,Chinook jargon
1316,Choctaw
1317,Chipewyan
1318,Quiotepec Chinantec
1319,Cherokee
1320,Cholón
1321,Church Slavic
1322,Chuvash
1323,Chuwabu
1324,Chantyal
1325,Cheyenne
1326,Ozumacín Chinantec
1327,Cia-Cia
1328,Ci Gbe
1329,Chickasaw
1330,Chimariko
1331,Cineni
1332,Chinali
1333,Chitkuli Kinnauri
1334,Cimbrian
1335,Cinta Larga
1336,Chiapanec
1337,Tiri
1338,Chippewa
1339,Chaima
1340,Western Cham
1341,Chru
1342,Upper Chehalis
1343,Chamalal
1344,Chokwe
1345,Eastern Cham
1346,Chenapian
1347,Ashéninka Pajonal
1348,Cabécar
1349,Shor
1350,Chuave
1351,Jinyu Chinese
1352,Central Kurdish
1353,Chak
1354,Cibak
1355,Kaang Chin
1356,Anufo
1357,Kajakse
1358,Kairak
1359,Tayo
1360,Chukot
1361,Koasati
1362,Kavalan
1363,Caka
1364,Cakfem-Mushere
1365,Cakchiquel-Quiché Mixed Language
1366,Ron
1367,Chilcotin
1368,Chaldean Neo-Aramaic
1369,Lealao Chinantec
1370,Chilisso
1371,Chakali
1372,Laitu Chin
1373,Idu-Mishmi
1374,Chala
1375,Clallam
1376,Lowland Oaxaca Chontal
1377,Lautu Chin
1378,Caluyanun
1379,Chulym
1380,Eastern Highland Chatino
1381,Maa
1382,Cerma
1383,Classical Mongolian
1384,Emberá-Chamí
1385,Campalagian
1386,Michigamea
1387,Mandarin Chinese
1388,Central Mnong
1389,Mro-Khimi Chin
1390,Messapic
1391,Camtho
1392,Changthang
1393,Chinbon Chin
1394,Côông
1395,Northern Qiang
1396,Hakha Chin
1397,Asháninka
1398,Khumi Chin
1399,Lalana Chinantec
1400,Con
1401,Montenegrin
1402,Central Asmat
1403,Tepetotutla Chinantec
1404,Chenoua
1405,Ngawn Chin
1406,Middle Cornish
1407,Cocos Islands Malay
1408,Chicomuceltec
1409,Cocopa
1410,Cocama-Cocamilla
1411,Koreguaje
1412,Colorado
1413,Chong
1414,Chonyi-Dzihana-Kauma
1415,Cochimi
1416,Santa Teresa Cora
1417,Columbia-Wenatchi
1418,Comanche
1419,Cofán
1420,Comox
1421,Coptic
1422,Coquille
1423,Cornish
1424,Corsican
1425,Caquinte
1426,Wamey
1427,Cao Miao
1428,Cowlitz
1429,Nanti
1430,Chochotec
1431,Palantla Chinantec
1432,Ucayali-Yurúa Ashéninka
1433,Ajyíninka Apurucayali
1434,Cappadocian Greek
1435,Chinese Pidgin English
1436,Cherepon
1437,Kpeego
1438,Capiznon
1439,Pichis Ashéninka
1440,Pu-Xian Chinese
1441,South Ucayali Ashéninka
1442,Chuanqiandian Cluster Miao
1443,Chara
1444,Island Carib
1445,Lonwolwol
1446,Coeur d'Alene
1447,Cree
1448,Caramanta
1449,Michif
1450,Crimean Tatar
1451,Sãotomense
1452,Southern East Cree
1453,Plains Cree
1454,Northern East Cree
1455,Moose Cree
1456,El Nayar Cora
1457,Crow
1458,Iyo'wujwa Chorote
1459,Carolina Algonquian
1460,Seselwa Creole French
1461,Iyojwa'ja Chorote
1462,Chaura
1463,Chrau
1464,Carrier
1465,Cori
1466,Cruzeño
1467,Chiltepec Chinantec
1468,Kashubian
1469,Catalan Sign Language
1470,Chiangmai Sign Language
1471,Czech Sign Language
1472,Cuba Sign Language
1473,Chilean Sign Language
1474,Asho Chin
1475,Coast Miwok
1476,Songlai Chin
1477,Jola-Kasa
1478,Chinese Sign Language
1479,Central Sierra Miwok
1480,Colombian Sign Language
1481,Sochiapam Chinantec
1482,Croatia Sign Language
1483,Costa Rican Sign Language
1484,Southern Ohlone
1485,Northern Ohlone
1486,Sumtu Chin
1487,Swampy Cree
1488,Siyin Chin
1489,Coos
1490,Tataltepec Chatino
1491,Chetco
1492,Tedim Chin
1493,Tepinapa Chinantec
1494,Chittagonian
1495,Thaiphum Chin
1496,Tlacoatzintepec Chinantec
1497,Chitimacha
1498,Chhintange
1499,Emberá-Catío
1500,Western Highland Chatino
1501,Northern Catanduanes Bikol
1502,Wayanad Chetti
1503,Chol
1504,Zacatepec Chatino
1505,Cua
