id,feature_class,feature_code,name,description
286,S,CAVE,cave(s),"an underground passageway or chamber, or cavity on the side of a cliff"
287,S,CH,church,a building for public Christian worship
288,S,CMP,camp(s),"a site occupied by tents, huts, or other shelters for temporary use"
289,S,CMPL,logging camp,a camp used by loggers
290,S,CMPLA,labor camp,a camp used by migrant or temporary laborers
291,S,CMPMN,mining camp,a camp used by miners
292,S,CMPO,oil camp,a camp used by oilfield workers
293,S,CMPQ,abandoned camp,
294,S,CMPRF,refugee camp,a camp used by refugees
295,S,CMTY,cemetery,a burial place or ground
296,S,COMC,communication center,"a facility, including buildings, antennae, towers and electronic equipment for receiving and transmitting information"
297,S,CRRL,corral(s),a pen or enclosure for confining or capturing animals
298,S,CSNO,casino,"a building used for entertainment, especially gambling"
299,S,CSTL,castle,a large fortified building or set of buildings
300,S,CSTM,customs house,"a building in a port where customs and duties are paid, and where vessels are entered and cleared"
301,S,CTHSE,courthouse,a building in which courts of law are held
302,S,CTRA,atomic center,a facility where atomic research is carried out
303,S,CTRCM,community center,a facility for community recreation and other activities
304,S,CTRF,facility center,a place where more than one facility is situated
305,S,CTRM,medical center,"a complex of health care buildings including two or more of the following: hospital, medical school, clinic, pharmacy, doctor's offices, etc."
306,S,CTRR,religious center,"a facility where more than one religious activity is carried out, e.g., retreat, school, monastery, worship"
307,S,CTRS,space center,"a facility for launching, tracking, or controlling satellites and space vehicles"
308,S,CTYD,courtyard,an area surrounded by a building or complex and open to the sky
309,S,CVNT,convent,a building where a community of nuns lives in seclusion
310,S,DAM,dam,a barrier constructed across a stream to impound water
311,S,DAMQ,ruined dam,a destroyed or decayed dam which is no longer functional
312,S,DAMSB,sub-surface dam,a dam put down to bedrock in a sand river
313,S,DARY,dairy,"a facility for the processing, sale and distribution of milk or milk products"
314,S,DCKD,dry dock,"a dock providing support for a vessel, and means for removing the water so that the bottom of the vessel can be exposed"
315,S,DCKY,dockyard,"a facility for servicing, building, or repairing ships"
316,S,DIKE,dike,an earth or stone embankment usually constructed for flood or stream control
317,S,DIP,diplomatic facility,"office, residence, or facility of a foreign government, which may include an embassy, consulate, chancery, office of charge d'affaires, or other diplomatic, economic, military, or cultural mission"
318,S,DPOF,fuel depot,an area where fuel is stored
319,S,EST,estate(s),a large commercialized agricultural landholding with associated buildings and other facilities
320,S,ESTO,oil palm plantation,an estate specializing in the cultivation of oil palm trees
321,S,ESTR,rubber plantation,an estate which specializes in growing and tapping rubber trees
322,S,ESTSG,sugar plantation,an estate that specializes in growing sugar cane
323,S,ESTT,tea plantation,an estate which specializes in growing tea bushes
324,S,ESTX,section of estate,
325,S,FCL,facility,"a building or buildings housing a center, institute, foundation, hospital, prison, mission, courthouse, etc."
326,S,FIRE,fire station,building housing firefighters and/or fire fighting equipment
327,S,FNDY,foundry,a building or works where metal casting is carried out
328,S,FRM,farm,a tract of land with associated buildings devoted to agriculture
329,S,FRMQ,abandoned farm,
330,S,FRMS,farms,tracts of land with associated buildings devoted to agriculture
331,S,FRMT,farmstead,the buildings and adjacent service areas of a farm
332,S,FT,fort,a defensive structure or earthworks
333,S,FY,ferry,a boat or other floating conveyance and terminal facilities regularly used to transport people and vehicles across a waterbody
334,S,FYT,ferry terminal,"a place where ferries pick-up and discharge passengers, vehicles and or cargo"
335,S,GATE,gate,a controlled access entrance or exit
336,S,GDN,garden(s),an enclosure for displaying selected plant or animal life
337,S,GHAT,ghat,"a set of steps leading to a river, which are of religious significance, and at their base is usually a platform for bathing"
338,S,GHSE,guest house,a house used to provide lodging for paying guests
339,S,GOSP,gas-oil separator plant,a facility for separating gas from oil
340,S,GOVL,local government office,"a facility housing local governmental offices, usually a city, town, or village hall"
341,S,GRVE,grave,a burial site
342,S,HERM,hermitage,"a secluded residence, usually for religious sects"
343,S,HLT,halting place,a place where caravans stop for rest
344,S,HMSD,homestead,"a residence, owner's or manager's, on a sheep or cattle station, woolshed, outcamp, or Aboriginal outstation, specific to Australia and New Zealand"
345,S,HSE,house(s),a building used as a human habitation
346,S,HSEC,country house,"a large house, mansion, or chateau, on a large estate"
347,S,HSP,hospital,"a building in which sick or injured, especially those confined to bed, are medically treated"
348,S,HSPC,clinic,a medical facility associated with a hospital for outpatients
349,S,HSPD,dispensary,a building where medical or dental aid is dispensed
350,S,HSPL,leprosarium,an asylum or hospital for lepers
351,S,HSTS,historical site,a place of historical importance
352,S,HTL,hotel,a building providing lodging and/or meals for the public
353,S,HUT,hut,a small primitive house
354,S,HUTS,huts,small primitive houses
355,S,INSM,military installation,a facility for use of and control by armed forces
356,S,ITTR,research institute,a facility where research is carried out
357,S,JTY,jetty,a structure built out into the water at a river mouth or harbor entrance to regulate currents and silting
358,S,LDNG,landing,"a place where boats receive or discharge passengers and freight, but lacking most port facilities"
359,S,LEPC,leper colony,a settled area inhabited by lepers in relative isolation
360,S,LIBR,library,"A place in which information resources such as books are kept for reading, reference, or lending."
361,S,LNDF,landfill,a place for trash and garbage disposal in which the waste is buried between layers of earth to build up low-lying land
362,S,LOCK,lock(s),a basin in a waterway with gates at each end by means of which vessels are passed from one water level to another
363,S,LTHSE,lighthouse,a distinctive structure exhibiting a major navigation light
